call_id,customer_id,call_date,transcript,sentiment
CALL1,C10382,2025-01-07,Customer is happy with the product.,Positive
CALL2,C10040,2025-04-22,Customer is happy with the product.,Positive
CALL3,C10033,2026-03-14,Customer appreciated the quick resolution.,Positive
CALL4,C10142,2025-01-12,Customer complained about delayed service.,Negative
CALL5,C10125,2025-07-30,Customer contacted support for general information.,Neutral
CALL6,C10288,2025-09-29,Customer complained about delayed service.,Negative
CALL7,C10765,2025-12-24,Customer contacted support for general information.,Neutral
CALL8,C10067,2026-02-20,Customer is happy with the product.,Positive
CALL9,C10634,2025-03-03,Customer reported repeated unresolved issues.,Negative
CALL10,C10268,2026-05-16,Customer was satisfied with the service.,Positive
CALL11,C10029,2026-04-11,Customer is happy with the product.,Positive
CALL12,C10001,2025-11-10,Customer expressed dissatisfaction with pricing.,Negative
CALL13,C10836,2026-02-16,Customer expressed dissatisfaction with pricing.,Negative
CALL14,C10086,2026-02-28,Customer appreciated the quick resolution.,Positive
CALL15,C10430,2025-03-24,Customer complained about delayed service.,Negative
CALL16,C10442,2026-08-14,Customer was satisfied with the service.,Positive
CALL17,C10637,2025-04-23,Customer appreciated the quick resolution.,Positive
CALL18,C10944,2025-01-31,Customer contacted support for general information.,Neutral
CALL19,C10923,2025-04-12,Customer was satisfied with the service.,Positive
CALL20,C10046,2025-06-24,Customer is happy with the product.,Positive
CALL21,C10902,2025-12-10,Customer reported repeated unresolved issues.,Negative
CALL22,C10434,2025-09-25,Customer contacted support for general information.,Neutral
CALL23,C10381,2025-06-21,Customer is happy with the product.,Positive
CALL24,C10456,2026-07-18,Customer is happy with the product.,Positive
CALL25,C10911,2025-11-03,Customer was satisfied with the service.,Positive
CALL26,C10473,2025-06-13,Customer is happy with the product.,Positive
CALL27,C10653,2026-04-26,Customer reported repeated unresolved issues.,Negative
CALL28,C10157,2026-01-07,Customer is happy with the product.,Positive
CALL29,C10432,2025-10-15,Customer appreciated the quick resolution.,Positive
CALL30,C10930,2025-07-18,Customer contacted support for general information.,Neutral
CALL31,C10967,2026-05-24,Customer expressed dissatisfaction with pricing.,Negative
CALL32,C10911,2025-01-19,Customer was satisfied with the service.,Positive
CALL33,C10308,2026-07-25,Customer appreciated the quick resolution.,Positive
CALL34,C10555,2025-02-17,Customer is happy with the product.,Positive
CALL35,C10158,2025-05-01,Customer said they may consider another provider.,Negative
CALL36,C10156,2026-04-29,Customer said they may consider another provider.,Negative
CALL37,C10655,2026-02-19,Customer reported repeated unresolved issues.,Negative
CALL38,C10091,2025-04-19,Customer appreciated the quick resolution.,Positive
CALL39,C10696,2026-06-20,Customer is happy with the product.,Positive
CALL40,C10064,2025-02-16,Customer expressed dissatisfaction with pricing.,Negative
CALL41,C10484,2026-08-02,Customer contacted support for general information.,Neutral
CALL42,C10354,2026-07-09,Customer reported repeated unresolved issues.,Negative
CALL43,C10222,2026-01-22,Customer is happy with the product.,Positive
CALL44,C10185,2025-11-13,Customer appreciated the quick resolution.,Positive
CALL45,C10144,2026-06-04,Customer appreciated the quick resolution.,Positive
CALL46,C10918,2025-03-15,Customer expressed dissatisfaction with pricing.,Negative
CALL47,C10686,2025-12-10,Customer appreciated the quick resolution.,Positive
CALL48,C10295,2025-07-08,Customer contacted support for general information.,Neutral
CALL49,C10270,2026-07-21,Customer contacted support for general information.,Neutral
CALL50,C10517,2025-05-06,Customer is happy with the product.,Positive
CALL51,C10707,2025-07-04,Customer contacted support for general information.,Neutral
CALL52,C10228,2025-08-06,Customer contacted support for general information.,Neutral
CALL53,C10599,2026-05-12,Customer appreciated the quick resolution.,Positive
CALL54,C10032,2025-10-15,Customer contacted support for general information.,Neutral
CALL55,C10628,2025-12-05,Customer contacted support for general information.,Neutral
CALL56,C10013,2025-12-22,Customer contacted support for general information.,Neutral
