complaint_id,customer_id,complaint_date,category,severity,status,resolution_days
CP1,C10582,2025-05-01,Delivery,Low,Open,12
CP2,C10403,2026-06-09,Pricing,Medium,Open,15
CP3,C10941,2026-08-21,Payment,Low,Open,14
CP4,C10034,2025-12-06,Service,Medium,Open,7
CP5,C10213,2025-01-08,Delivery,Low,Open,23
CP6,C10125,2026-06-26,Technical,Low,Resolved,17
CP7,C10420,2025-12-13,Technical,Medium,Pending,21
CP8,C10956,2026-04-23,Payment,Low,Resolved,27
CP9,C10617,2025-11-20,Delivery,Medium,Open,22
CP10,C10886,2026-04-09,Delivery,High,Resolved,1
CP11,C10547,2025-06-06,Technical,Low,Open,4
CP12,C10242,2026-07-12,Payment,Medium,Open,23
CP13,C10492,2026-08-29,Payment,Low,Resolved,30
CP14,C10115,2026-06-17,Account,Low,Pending,18
CP15,C10265,2026-05-28,Technical,Low,Open,29
CP16,C10126,2026-07-17,Account,Low,Resolved,12
CP17,C10216,2025-01-06,Delivery,Low,Resolved,5
CP18,C10373,2025-07-22,Delivery,Low,Resolved,30
CP19,C10577,2026-01-16,Pricing,Medium,Pending,26
CP20,C10129,2026-04-11,Pricing,Low,Resolved,16
CP21,C10969,2025-07-11,Service,Low,Open,11
CP22,C10439,2025-11-06,Delivery,Medium,Open,14
CP23,C10937,2025-07-02,Account,Medium,Open,13
CP24,C10485,2025-08-26,Pricing,High,Resolved,1
CP25,C10714,2026-08-03,Technical,Low,Resolved,5
CP26,C10839,2026-04-01,Payment,Medium,Resolved,22
CP27,C10512,2026-07-24,Account,Medium,Resolved,6
CP28,C10803,2025-10-05,Service,Low,Open,23
CP29,C10196,2025-03-04,Account,Medium,Resolved,7
CP30,C10915,2025-06-13,Account,Low,Resolved,24
CP31,C10199,2025-12-25,Delivery,Low,Open,23
CP32,C10935,2025-04-19,Payment,Low,Resolved,30
CP33,C10372,2025-09-11,Account,Low,Resolved,18
CP34,C10237,2026-01-15,Service,Medium,Open,13
CP35,C10522,2026-04-15,Account,Medium,Open,10
CP36,C10018,2025-09-13,Service,Low,Resolved,28
CP37,C10268,2026-02-14,Account,Low,Resolved,16
CP38,C10140,2026-05-05,Service,Medium,Pending,13
CP39,C10827,2026-06-17,Technical,Low,Open,22
CP40,C10249,2025-01-17,Pricing,Low,Open,13
CP41,C10378,2026-08-14,Payment,Low,Resolved,28
CP42,C10909,2025-08-04,Technical,High,Pending,22
CP43,C10189,2025-11-06,Payment,Low,Resolved,8
CP44,C10418,2026-03-03,Account,Low,Open,4
CP45,C10430,2025-06-01,Service,Medium,Open,27
CP46,C10735,2025-03-04,Account,Medium,Open,21
CP47,C10874,2025-08-06,Service,Low,Resolved,20
CP48,C10444,2025-04-05,Account,Medium,Resolved,26
CP49,C10753,2025-08-22,Technical,Medium,Resolved,11
CP50,C10674,2026-07-04,Account,Low,Open,4
CP51,C10780,2025-08-03,Account,High,Resolved,13
CP52,C10130,2025-03-26,Pricing,Low,Resolved,10
CP53,C10145,2026-05-15,Technical,Medium,Resolved,27
CP54,C10435,2025-05-20,Service,High,Open,17
CP55,C10144,2025-04-17,Technical,Medium,Pending,25
CP56,C10327,2025-01-18,Payment,Low,Pending,24
CP57,C10268,2026-08-21,Payment,Low,Resolved,11
CP58,C10259,2026-07-26,Delivery,Medium,Open,28
CP59,C10842,2026-03-04,Payment,Low,Pending,3
CP60,C10924,2025-09-19,Delivery,High,Resolved,24
CP61,C10333,2025-04-08,Delivery,Low,Resolved,10
CP62,C10354,2025-07-21,Delivery,Low,Resolved,12
CP63,C10167,2025-07-26,Delivery,Low,Resolved,9
CP64,C10547,2026-03-25,Service,Low,Resolved,6
CP65,C10655,2026-04-10,Delivery,Low,Resolved,13
CP66,C10000,2025-12-14,Payment,Medium,Resolved,14
CP67,C10984,2025-06-19,Technical,Low,Open,8
CP68,C10155,2026-06-04,Payment,High,Resolved,2
CP69,C10566,2025-10-10,Payment,High,Resolved,11
CP70,C10867,2026-06-21,Pricing,Low,Resolved,27
CP71,C10373,2026-04-05,Payment,Medium,Resolved,14
CP72,C10212,2026-06-17,Payment,Low,Open,27
CP73,C10205,2026-07-10,Account,Low,Resolved,23
CP74,C10212,2026-03-20,Technical,Medium,Resolved,28
