customer_id,name,age,region,segment,income,tenure_months,churned,transaction_count,total_transaction_amount,avg_transaction_amount,complaint_count,avg_resolution_days,high_severity_complaints,open_complaints,call_count,positive_calls,negative_calls,total_products,active_products,closed_products,total_interactions,support_interactions,complaint_interactions,negative_call_rate,positive_call_rate,open_complaint_rate,closed_product_rate,support_interaction_rate,churn_probability
C10000,Customer_1,59,North,Premium,220425,8,0,51,67617.35,1325.830392156863,4.0,24.25,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,11,1,2,0.6,0.2,0.0,0.0,0.09090909090909091,0.188
C10001,Customer_2,49,North,Business,51762,60,0,40,77422.55,1935.56375,3.0,9.0,1.0,1.0,9.0,2.0,5.0,1.0,0.0,1.0,7,1,1,0.5555555555555556,0.2222222222222222,0.3333333333333333,1.0,0.14285714285714285,0.3244444444444445
C10002,Customer_3,35,Central,Premium,169355,71,0,42,85659.5,2039.5119047619048,3.0,4.666666666666667,0.0,1.0,2.0,1.0,0.0,4.0,4.0,0.0,12,3,3,0.0,0.5,0.3333333333333333,0.0,0.25,0.10999999999999999
C10003,Customer_4,63,Central,Premium,219994,30,0,41,69207.39,1687.9851219512195,6.0,14.5,0.0,0.0,4.0,2.0,2.0,3.0,2.0,1.0,3,1,0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.27666666666666667
C10004,Customer_5,28,West,Standard,195492,64,1,45,93118.93,2069.3095555555556,1.0,9.0,0.0,0.0,6.0,1.0,5.0,3.0,2.0,1.0,8,0,1,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.0,0.2383333333333333
C10005,Customer_6,41,East,Standard,80568,43,1,46,78785.59,1712.7302173913042,5.0,20.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0,11,2,3,0.25,0.75,0.2,0.0,0.18181818181818182,0.17200000000000001
C10006,Customer_7,59,North,Standard,110090,71,1,47,74582.7,1586.8659574468084,5.0,16.2,1.0,2.0,7.0,3.0,2.0,1.0,1.0,0.0,12,5,1,0.2857142857142857,0.42857142857142855,0.4,0.0,0.4166666666666667,0.23185714285714284
C10007,Customer_8,39,East,Premium,45219,84,0,50,77199.09,1543.9818,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,10,2,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.2,0.05666666666666667
C10008,Customer_9,43,East,Standard,82169,92,0,44,86568.70999999999,1967.4706818181817,3.0,19.333333333333332,0.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,15,4,2,0.0,0.625,0.0,0.0,0.26666666666666666,0.065
C10009,Customer_10,31,Central,Premium,99965,86,0,56,114606.13,2046.5380357142858,4.0,14.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0,1.0,6,3,1,0.3333333333333333,0.5,0.25,1.0,0.5,0.25666666666666665
