customer_id,name,age,region,segment,income,tenure_months,churned
C10000,Customer_1,59,North,Premium,220425,8,1
C10001,Customer_2,49,North,Business,51762,60,0
C10002,Customer_3,35,Central,Premium,169355,71,0
C10003,Customer_4,63,Central,Premium,219994,30,0
C10004,Customer_5,28,West,Standard,195492,64,0
C10005,Customer_6,41,East,Standard,80568,43,0
C10006,Customer_7,59,North,Standard,110090,71,0
C10007,Customer_8,39,East,Premium,45219,84,0
C10008,Customer_9,43,East,Standard,82169,92,0
C10009,Customer_10,31,Central,Premium,99965,86,0
C10010,Customer_11,31,West,Business,202912,43,0
C10011,Customer_12,44,South,Premium,200767,51,0
C10012,Customer_13,56,West,Standard,109754,93,0
C10013,Customer_14,60,West,Standard,102988,51,0
C10014,Customer_15,44,East,Standard,214414,78,0
C10015,Customer_16,23,West,Premium,175023,73,0
C10016,Customer_17,42,North,Premium,157379,5,1
C10017,Customer_18,22,East,Business,105388,12,0
C10018,Customer_19,44,North,Standard,115768,100,1
C10019,Customer_20,64,South,Business,60428,91,0
C10020,Customer_21,50,East,Premium,117021,37,0
C10021,Customer_22,58,South,Standard,143418,82,0
C10022,Customer_23,22,East,Premium,231846,4,0
C10023,Customer_24,41,Central,Standard,195047,26,0
C10024,Customer_25,53,West,Standard,157212,76,0
C10025,Customer_26,32,Central,Premium,180914,40,0
C10026,Customer_27,42,South,Standard,51421,24,0
C10027,Customer_28,64,West,Premium,26708,28,0
C10028,Customer_29,45,East,Premium,159702,45,0
C10029,Customer_30,69,West,Standard,175667,57,0
C10030,Customer_31,47,North,Standard,101021,41,0
C10031,Customer_32,62,West,Standard,184380,93,0
C10032,Customer_33,48,North,Standard,69789,31,0
C10033,Customer_34,36,West,Standard,211762,113,0
C10034,Customer_35,35,North,Standard,51086,104,0
C10035,Customer_36,67,South,Standard,41859,22,0
C10036,Customer_37,64,Central,Standard,32684,93,1
C10037,Customer_38,23,East,Standard,116088,43,0
C10038,Customer_39,57,West,Premium,157279,56,0
C10039,Customer_40,27,Central,Premium,71099,22,0
C10040,Customer_41,41,East,Standard,223568,110,0
C10041,Customer_42,29,East,Standard,91093,21,0
C10042,Customer_43,59,North,Business,185761,86,0
C10043,Customer_44,38,South,Premium,73651,101,0
C10044,Customer_45,24,South,Business,38893,113,1
C10045,Customer_46,45,Central,Premium,91418,68,0
C10046,Customer_47,34,South,Standard,150074,32,0
C10047,Customer_48,70,West,Standard,128065,55,0
C10048,Customer_49,29,South,Standard,155351,36,0
C10049,Customer_50,46,Central,Standard,216083,24,1
C10050,Customer_51,22,South,Standard,63635,69,0
C10051,Customer_52,40,West,Standard,212187,8,0
C10052,Customer_53,48,North,Standard,120071,81,0
C10053,Customer_54,67,Central,Premium,234477,29,0
C10054,Customer_55,27,North,Premium,228774,12,0
C10055,Customer_56,64,North,Standard,103518,75,0
C10056,Customer_57,28,North,Premium,131233,99,0
C10057,Customer_58,67,East,Standard,128651,98,0
C10058,Customer_59,55,East,Premium,97805,50,1
C10059,Customer_60,34,North,Standard,215026,72,0
C10060,Customer_61,37,Central,Business,184136,107,0
C10061,Customer_62,56,West,Premium,147813,61,0
C10062,Customer_63,70,West,Standard,104063,102,0
C10063,Customer_64,60,South,Standard,27454,61,0
C10064,Customer_65,24,Central,Standard,45878,4,0
C10065,Customer_66,22,East,Standard,207170,31,0
C10066,Customer_67,26,North,Standard,218226,70,0
C10067,Customer_68,62,South,Premium,169063,67,0
C10068,Customer_69,24,West,Standard,93344,85,0
C10069,Customer_70,49,East,Premium,129946,28,0
C10070,Customer_71,38,East,Business,61593,91,0
C10071,Customer_72,46,North,Standard,61304,12,1
C10072,Customer_73,64,West,Standard,186458,55,0
C10073,Customer_74,54,Central,Standard,211292,81,0
C10074,Customer_75,30,East,Premium,138613,61,0
C10075,Customer_76,56,North,Standard,225410,24,0
C10076,Customer_77,34,Central,Business,177155,53,0
C10077,Customer_78,51,West,Premium,43354,50,1
C10078,Customer_79,68,East,Standard,47190,23,0
C10079,Customer_80,35,Central,Standard,31142,24,0
C10080,Customer_81,28,Central,Premium,184470,102,0
C10081,Customer_82,34,Central,Premium,208043,100,0
C10082,Customer_83,43,East,Standard,66862,32,0
C10083,Customer_84,60,East,Standard,209482,27,0
C10084,Customer_85,41,South,Premium,175575,111,0
C10085,Customer_86,36,West,Standard,150438,30,1
C10086,Customer_87,65,North,Business,73456,67,0
C10087,Customer_88,38,Central,Standard,125167,115,0
C10088,Customer_89,67,South,Standard,107035,47,0
C10089,Customer_90,44,North,Premium,33016,70,0
C10090,Customer_91,46,South,Standard,27384,9,1
C10091,Customer_92,45,East,Standard,218392,51,0
C10092,Customer_93,65,Central,Standard,171144,11,0
C10093,Customer_94,61,North,Standard,127239,38,0
C10094,Customer_95,49,North,Premium,136431,85,1
C10095,Customer_96,35,North,Standard,105018,3,1
C10096,Customer_97,65,North,Standard,65510,12,0
C10097,Customer_98,21,North,Premium,205005,38,0
C10098,Customer_99,45,South,Premium,46826,75,1
C10099,Customer_100,27,Central,Standard,93026,111,0
C10100,Customer_101,29,East,Standard,146668,48,0
C10101,Customer_102,44,East,Business,181590,108,0
C10102,Customer_103,21,East,Premium,49045,34,0
C10103,Customer_104,64,East,Standard,206948,34,0
C10104,Customer_105,28,South,Standard,248518,8,0
C10105,Customer_106,44,West,Standard,115102,50,0
C10106,Customer_107,31,Central,Premium,76919,40,0
C10107,Customer_108,37,North,Premium,124441,19,1
C10108,Customer_109,28,West,Premium,183175,76,0
C10109,Customer_110,55,East,Premium,192260,116,0
C10110,Customer_111,55,West,Premium,161917,29,0
C10111,Customer_112,53,Central,Standard,242770,56,0
C10112,Customer_113,25,North,Standard,192746,52,0
C10113,Customer_114,62,North,Standard,143325,37,1
C10114,Customer_115,59,Central,Standard,44337,118,0
C10115,Customer_116,61,Central,Premium,178385,87,0
C10116,Customer_117,48,East,Standard,183015,27,0
C10117,Customer_118,27,North,Standard,102949,30,1
C10118,Customer_119,29,West,Standard,25276,113,0
C10119,Customer_120,28,South,Standard,76151,17,0
C10120,Customer_121,32,South,Standard,173683,6,0
C10121,Customer_122,54,Central,Standard,168016,95,0
C10122,Customer_123,53,East,Premium,77887,75,0
C10123,Customer_124,68,South,Standard,106442,29,0
C10124,Customer_125,43,North,Premium,74847,28,0
C10125,Customer_126,44,Central,Standard,83653,21,0
C10126,Customer_127,57,West,Standard,242144,94,0
C10127,Customer_128,55,Central,Standard,81622,19,0
C10128,Customer_129,64,West,Standard,52810,45,0
C10129,Customer_130,60,Central,Premium,102842,43,0
C10130,Customer_131,42,Central,Standard,147225,44,0
C10131,Customer_132,47,Central,Standard,35503,52,0
C10132,Customer_133,55,West,Premium,109761,86,1
C10133,Customer_134,21,West,Standard,193048,111,0
C10134,Customer_135,55,Central,Standard,151439,42,0
C10135,Customer_136,57,South,Premium,36590,41,1
C10136,Customer_137,67,East,Premium,166958,115,0
C10137,Customer_138,34,East,Standard,168938,119,0
C10138,Customer_139,23,East,Business,91624,25,0
C10139,Customer_140,21,West,Premium,224971,113,0
C10140,Customer_141,25,West,Standard,188864,98,0
C10141,Customer_142,46,South,Premium,165836,54,1
C10142,Customer_143,34,East,Standard,145356,49,1
C10143,Customer_144,59,East,Standard,242228,65,0
C10144,Customer_145,47,Central,Standard,67727,99,0
C10145,Customer_146,29,West,Standard,103471,112,0
C10146,Customer_147,35,East,Premium,33068,71,0
C10147,Customer_148,35,South,Standard,141923,45,0
C10148,Customer_149,46,South,Premium,163367,50,0
C10149,Customer_150,62,East,Premium,197232,36,1
C10150,Customer_151,33,West,Standard,36390,42,1
C10151,Customer_152,52,South,Premium,131752,77,1
C10152,Customer_153,59,Central,Standard,176203,63,0
C10153,Customer_154,69,South,Standard,119754,52,0
C10154,Customer_155,52,North,Premium,100969,69,0
C10155,Customer_156,24,North,Standard,171110,64,1
C10156,Customer_157,50,West,Standard,208399,60,0
C10157,Customer_158,57,East,Standard,249790,35,1
C10158,Customer_159,43,West,Standard,102064,77,0
C10159,Customer_160,59,West,Standard,46281,18,0
C10160,Customer_161,65,West,Standard,79189,84,0
C10161,Customer_162,35,West,Business,73511,96,0
C10162,Customer_163,63,Central,Standard,147115,50,0
C10163,Customer_164,49,Central,Standard,33605,12,0
C10164,Customer_165,56,South,Standard,125318,84,0
C10165,Customer_166,33,North,Standard,157453,40,0
C10166,Customer_167,52,West,Business,222706,21,0
C10167,Customer_168,27,South,Premium,44810,38,0
C10168,Customer_169,42,North,Premium,180394,61,0
C10169,Customer_170,48,East,Standard,66869,65,1
C10170,Customer_171,22,Central,Standard,57955,79,0
C10171,Customer_172,62,North,Standard,86388,48,0
C10172,Customer_173,65,East,Premium,35207,5,0
C10173,Customer_174,26,North,Standard,243401,76,0
C10174,Customer_175,48,Central,Standard,223700,104,0
C10175,Customer_176,48,Central,Business,184292,67,0
C10176,Customer_177,64,South,Standard,240122,93,1
C10177,Customer_178,64,West,Standard,230157,112,0
C10178,Customer_179,40,North,Standard,47031,10,1
C10179,Customer_180,50,North,Business,226793,53,0
C10180,Customer_181,31,East,Standard,105807,112,0
C10181,Customer_182,48,Central,Premium,96312,108,1
C10182,Customer_183,45,North,Premium,84766,83,0
C10183,Customer_184,59,Central,Standard,168521,75,0
C10184,Customer_185,53,North,Premium,114833,8,0
C10185,Customer_186,21,South,Standard,212771,109,0
C10186,Customer_187,47,West,Standard,237325,91,0
C10187,Customer_188,33,North,Premium,136041,41,1
C10188,Customer_189,61,Central,Premium,141185,115,1
C10189,Customer_190,23,South,Premium,202164,62,1
C10190,Customer_191,59,North,Standard,219743,30,0
C10191,Customer_192,26,East,Standard,35350,99,1
C10192,Customer_193,28,West,Standard,125859,56,0
C10193,Customer_194,47,North,Standard,93487,39,0
C10194,Customer_195,29,South,Standard,173694,11,0
C10195,Customer_196,57,East,Standard,148853,84,0
C10196,Customer_197,53,South,Standard,226335,58,0
C10197,Customer_198,62,South,Standard,78117,61,0
C10198,Customer_199,64,East,Standard,214466,87,1
C10199,Customer_200,44,South,Standard,126084,4,0
C10200,Customer_201,35,East,Premium,48782,63,0
C10201,Customer_202,52,North,Standard,53454,60,1
C10202,Customer_203,52,East,Business,92904,109,1
C10203,Customer_204,44,East,Premium,154936,62,0
C10204,Customer_205,61,West,Standard,171664,104,1
C10205,Customer_206,69,East,Premium,178245,42,0
C10206,Customer_207,69,East,Standard,189276,38,0
C10207,Customer_208,32,North,Standard,191668,116,0
C10208,Customer_209,59,West,Standard,190396,109,0
C10209,Customer_210,22,Central,Standard,147258,39,0
C10210,Customer_211,23,North,Standard,136668,81,0
C10211,Customer_212,69,North,Standard,217274,94,0
C10212,Customer_213,57,Central,Premium,245472,20,0
C10213,Customer_214,69,East,Premium,149184,100,0
C10214,Customer_215,37,South,Standard,186822,65,0
C10215,Customer_216,69,West,Premium,232184,24,0
C10216,Customer_217,22,South,Standard,41566,13,0
C10217,Customer_218,22,Central,Standard,163262,60,0
C10218,Customer_219,48,North,Premium,244679,59,0
C10219,Customer_220,43,North,Standard,63333,79,0
C10220,Customer_221,57,West,Standard,146929,6,1
C10221,Customer_222,52,North,Standard,236977,88,0
C10222,Customer_223,53,North,Standard,114571,9,0
