interaction_id,customer_id,interaction_date,channel,interaction_type
I1,C10289,2025-03-24,Email,Support
I2,C10390,2026-03-20,Email,Inquiry
I3,C10342,2026-02-25,Call,Purchase
I4,C10268,2026-05-02,Branch,Purchase
I5,C10144,2026-05-26,Branch,Login
I6,C10026,2026-07-06,Call,Inquiry
I7,C10380,2026-07-09,Branch,Purchase
I8,C10510,2025-05-19,Call,Support
I9,C10814,2026-07-14,Call,Complaint
I10,C10945,2025-09-26,Web,Support
I11,C10303,2025-08-08,Branch,Complaint
I12,C10631,2025-09-23,Call,Inquiry
I13,C10439,2026-08-22,Branch,Complaint
I14,C10251,2025-12-24,Call,Purchase
I15,C10849,2025-05-27,Call,Purchase
I16,C10873,2025-03-07,Web,Support
I17,C10398,2026-03-05,Email,Purchase
I18,C10884,2026-05-22,Email,Inquiry
I19,C10785,2025-07-23,Mobile,Inquiry
I20,C10322,2025-09-21,Web,Inquiry
I21,C10518,2025-07-31,Branch,Support
I22,C10752,2026-01-02,Email,Login
I23,C10692,2026-04-13,Web,Complaint
I24,C10384,2026-05-12,Web,Purchase
I25,C10408,2025-09-13,Web,Purchase
I26,C10438,2025-03-29,Mobile,Login
I27,C10401,2025-03-14,Mobile,Login
I28,C10814,2026-03-31,Email,Support
I29,C10610,2025-05-29,Call,Login
I30,C10317,2025-12-20,Mobile,Purchase
I31,C10653,2026-05-22,Email,Inquiry
I32,C10925,2026-07-17,Mobile,Inquiry
I33,C10448,2025-10-15,Mobile,Purchase
I34,C10996,2025-09-01,Branch,Complaint
I35,C10509,2025-08-28,Email,Purchase
I36,C10848,2026-03-01,Branch,Login
I37,C10604,2026-02-14,Mobile,Purchase
I38,C10617,2025-01-15,Web,Purchase
I39,C10713,2026-02-13,Call,Login
I40,C10035,2025-12-17,Call,Complaint
I41,C10755,2025-04-18,Web,Purchase
I42,C10714,2025-08-16,Call,Support
I43,C10844,2026-08-17,Mobile,Inquiry
I44,C10351,2025-04-11,Call,Login
I45,C10278,2025-08-02,Web,Inquiry
I46,C10956,2026-03-24,Email,Inquiry
I47,C10873,2026-07-11,Call,Login
I48,C10151,2025-04-19,Mobile,Support
I49,C10955,2025-04-23,Web,Support
I50,C10053,2025-11-07,Web,Support
I51,C10995,2026-07-10,Branch,Login
I52,C10705,2026-04-11,Web,Inquiry
I53,C10257,2025-07-31,Email,Purchase
I54,C10091,2025-02-05,Email,Complaint
I55,C10037,2026-05-28,Email,Purchase
I56,C10078,2026-03-14,Call,Inquiry
I57,C10464,2026-02-10,Mobile,Complaint
I58,C10919,2025-11-30,Branch,Complaint
I59,C10086,2025-03-02,Mobile,Login
I60,C10124,2025-04-08,Email,Complaint
I61,C10622,2026-04-14,Call,Support
I62,C10775,2026-02-21,Email,Inquiry
I63,C10247,2025-12-23,Web,Purchase
I64,C10338,2025-07-16,Email,Inquiry
I65,C10619,2025-03-19,Email,Complaint
I66,C10947,2025-09-12,Call,Inquiry
I67,C10567,2025-04-09,Web,Support
I68,C10598,2025-07-13,Branch,Login
