product_id,customer_id,product_type,start_date,status
P1,C10662,Loan,2025-09-24,Active
P2,C10841,Savings,2022-03-15,Active
P3,C10570,Insurance,2024-03-11,Active
P4,C10309,Loan,2023-09-18,Closed
P5,C10358,Insurance,2025-10-30,Active
P6,C10295,Investment,2022-05-31,Active
P7,C10918,Investment,2024-06-13,Active
P8,C10091,Savings,2022-09-14,Active
P9,C10478,Investment,2024-07-27,Pending
P10,C10118,Savings,2025-02-16,Active
P11,C10070,Savings,2024-03-17,Active
P12,C10322,Insurance,2022-02-11,Active
P13,C10918,Insurance,2022-11-19,Active
P14,C10422,Insurance,2023-03-22,Active
P15,C10454,Credit Card,2023-01-05,Closed
P16,C10158,Insurance,2024-06-07,Active
P17,C10584,Insurance,2025-01-18,Active
P18,C10720,Loan,2025-09-09,Active
P19,C10115,Investment,2023-08-09,Closed
P20,C10404,Loan,2023-02-20,Active
P21,C10721,Savings,2024-06-13,Active
P22,C10182,Savings,2025-02-11,Active
P23,C10174,Credit Card,2025-08-09,Active
P24,C10043,Investment,2025-06-30,Active
P25,C10486,Credit Card,2023-11-06,Active
P26,C10506,Credit Card,2023-07-20,Active
P27,C10482,Investment,2024-11-07,Closed
P28,C10669,Credit Card,2025-01-24,Active
P29,C10194,Savings,2025-03-08,Active
P30,C10370,Investment,2025-12-18,Active
P31,C10375,Insurance,2024-02-17,Active
P32,C10818,Credit Card,2025-05-15,Active
P33,C10805,Investment,2023-09-08,Pending
P34,C10850,Investment,2025-12-12,Active
P35,C10448,Investment,2022-12-10,Active
P36,C10025,Credit Card,2025-04-07,Closed
P37,C10364,Loan,2023-04-06,Active
P38,C10347,Insurance,2025-06-13,Active
P39,C10600,Investment,2023-09-13,Active
P40,C10138,Credit Card,2024-02-13,Active
P41,C10965,Savings,2023-12-07,Active
P42,C10024,Insurance,2023-04-02,Active
P43,C10370,Investment,2024-12-27,Pending
P44,C10504,Loan,2025-02-07,Active
P45,C10062,Investment,2025-03-16,Closed
P46,C10214,Insurance,2025-06-22,Active
P47,C10698,Savings,2023-03-28,Active
P48,C10512,Insurance,2022-04-30,Active
P49,C10661,Investment,2025-10-09,Active
P50,C10456,Investment,2024-06-18,Pending
P51,C10290,Savings,2024-12-07,Active
P52,C10572,Insurance,2025-11-20,Active
P53,C10850,Insurance,2023-08-18,Active
P54,C10991,Savings,2024-12-23,Closed
P55,C10135,Credit Card,2024-09-06,Active
P56,C10941,Savings,2023-03-16,Closed
P57,C10162,Insurance,2022-09-18,Active
P58,C10254,Insurance,2025-09-07,Active
P59,C10741,Savings,2025-03-28,Active
P60,C10872,Investment,2025-10-30,Active
P61,C10419,Insurance,2022-01-08,Closed
P62,C10578,Credit Card,2025-07-05,Active
P63,C10742,Investment,2023-11-27,Active
P64,C10633,Credit Card,2025-10-30,Active
P65,C10412,Savings,2024-09-18,Active
P66,C10813,Insurance,2024-06-03,Active
P67,C10670,Savings,2022-09-24,Active
P68,C10840,Investment,2025-02-14,Active
P69,C10945,Insurance,2022-04-05,Active
P70,C10730,Savings,2022-11-27,Active
P71,C10965,Savings,2024-10-07,Active
P72,C10223,Loan,2024-12-07,Closed
P73,C10293,Investment,2025-07-15,Active
P74,C10426,Insurance,2025-08-18,Active
P75,C10789,Investment,2024-07-26,Closed
P76,C10433,Loan,2025-03-03,Active
P77,C10477,Investment,2025-11-24,Active
P78,C10035,Savings,2025-03-13,Closed
P79,C10350,Insurance,2022-11-25,Active
P80,C10826,Insurance,2023-01-18,Active
P81,C10118,Insurance,2024-01-30,Active
P82,C10390,Insurance,2024-10-06,Active
P83,C10956,Loan,2025-11-25,Active
P84,C10155,Insurance,2022-08-23,Active
P85,C10361,Investment,2024-08-06,Active
P86,C10174,Credit Card,2023-06-03,Active
P87,C10401,Loan,2023-07-30,Closed
P88,C10229,Loan,2025-12-18,Active
P89,C10680,Investment,2025-03-27,Active
P90,C10286,Investment,2024-10-19,Active
P91,C10984,Insurance,2022-02-27,Active
P92,C10612,Insurance,2025-10-10,Active
P93,C10525,Credit Card,2025-05-20,Active
P94,C10812,Insurance,2022-12-02,Active
P95,C10118,Loan,2023-11-21,Active
P96,C10793,Investment,2025-08-07,Active
P97,C10378,Credit Card,2024-07-06,Active
P98,C10266,Credit Card,2024-07-12,Closed
P99,C10736,Savings,2023-11-14,Active
P100,C10882,Credit Card,2025-10-22,Active
P101,C10289,Savings,2025-01-28,Closed
P102,C10884,Loan,2024-05-14,Pending
P103,C10361,Credit Card,2022-02-04,Active
P104,C10528,Insurance,2025-10-19,Active
P105,C10938,Investment,2022-01-15,Active
P106,C10323,Savings,2023-04-09,Active
P107,C10204,Savings,2022-06-12,Closed
P108,C10843,Loan,2022-10-02,Active
P109,C10052,Loan,2022-01-04,Active
P110,C10247,Loan,2024-02-14,Active
P111,C10667,Savings,2025-04-21,Active
P112,C10946,Insurance,2025-02-22,Closed
P113,C10076,Savings,2022-08-13,Pending
P114,C10976,Savings,2024-10-20,Active
P115,C10469,Loan,2025-04-24,Active
P116,C10753,Savings,2025-03-15,Active
P117,C10393,Investment,2023-03-19,Active
P118,C10445,Credit Card,2023-03-23,Active
P119,C10533,Insurance,2022-08-24,Closed
P120,C10685,Savings,2024-08-27,Active
P121,C10318,Credit Card,2024-10-14,Active
P122,C10615,Insurance,2023-03-16,Active
P123,C10714,Savings,2024-12-19,Active
P124,C10699,Investment,2023-08-03,Active
P125,C10754,Investment,2023-07-22,Closed
P126,C10439,Investment,2023-01-23,Active
P127,C10886,Credit Card,2023-11-14,Active
P128,C10132,Loan,2022-03-24,Active
P129,C10030,Savings,2022-06-12,Active
P130,C10930,Insurance,2024-02-03,Active
P131,C10312,Savings,2022-05-01,Closed
P132,C10019,Loan,2025-02-03,Active
P133,C10363,Insurance,2024-10-12,Active
P134,C10798,Credit Card,2023-06-29,Closed
P135,C10284,Savings,2023-03-19,Active
P136,C10977,Loan,2025-05-19,Active
P137,C10834,Credit Card,2024-02-23,Active
P138,C10905,Insurance,2023-02-17,Active
P139,C10232,Credit Card,2022-06-13,Pending
P140,C10530,Insurance,2023-02-25,Active
P141,C10612,Loan,2022-12-18,Closed
P142,C10425,Savings,2023-09-10,Active
P143,C10271,Investment,2025-08-10,Active
P144,C10912,Credit Card,2025-09-05,Closed
P145,C10139,Loan,2023-08-03,Active
P146,C10073,Insurance,2025-08-13,Closed
P147,C10100,Insurance,2025-02-10,Active
P148,C10508,Loan,2023-03-13,Active
P149,C10350,Credit Card,2023-04-16,Pending
P150,C10418,Investment,2024-02-18,Active
P151,C10590,Insurance,2022-12-24,Active
P152,C10661,Loan,2023-11-02,Active
P153,C10703,Credit Card,2025-08-29,Active
P154,C10173,Credit Card,2024-07-09,Pending
P155,C10407,Insurance,2024-09-21,Active
P156,C10954,Savings,2023-06-25,Pending
P157,C10039,Investment,2023-05-25,Active
P158,C10382,Savings,2023-07-17,Active
P159,C10252,Credit Card,2022-09-28,Active
P160,C10334,Investment,2025-02-06,Pending
P161,C10710,Insurance,2022-10-20,Active
P162,C10066,Investment,2024-11-25,Active
P163,C10571,Savings,2023-10-01,Active
P164,C10113,Loan,2022-10-19,Active
P165,C10052,Insurance,2024-09-23,Active
P166,C10259,Loan,2022-10-27,Closed
P167,C10210,Credit Card,2023-02-17,Active
P168,C10096,Investment,2023-10-14,Active
P169,C10635,Loan,2022-10-29,Active
P170,C10995,Investment,2022-01-14,Active
P171,C10499,Credit Card,2022-07-04,Active
P172,C10610,Insurance,2025-06-22,Active
P173,C10682,Savings,2023-01-01,Closed
P174,C10499,Investment,2025-08-21,Active
P175,C10123,Savings,2022-08-29,Pending
P176,C10561,Loan,2025-05-14,Active
P177,C10742,Loan,2025-01-02,Active
P178,C10643,Credit Card,2023-10-19,Closed
P179,C10138,Insurance,2024-05-23,Active
P180,C10404,Loan,2024-09-14,Closed
P181,C10180,Insurance,2023-05-04,Active
P182,C10470,Savings,2024-05-07,Active
P183,C10317,Loan,2022-08-13,Active
P184,C10697,Savings,2024-05-11,Active
P185,C10243,Insurance,2023-10-24,Active
P186,C10171,Savings,2022-08-30,Active
P187,C10673,Savings,2025-03-13,Active
P188,C10299,Investment,2024-09-06,Closed
P189,C10398,Insurance,2023-03-29,Active
P190,C10765,Credit Card,2022-01-12,Pending
P191,C10150,Loan,2025-09-03,Closed
P192,C10588,Credit Card,2023-12-31,Active
P193,C10318,Loan,2023-04-25,Closed
P194,C10812,Investment,2022-08-29,Active
P195,C10773,Loan,2024-10-04,Pending
P196,C10170,Savings,2023-10-17,Closed
P197,C10211,Loan,2023-07-19,Active
P198,C10855,Investment,2025-03-21,Active
P199,C10233,Loan,2024-10-10,Closed
P200,C10055,Loan,2023-04-26,Active
P201,C10108,Savings,2022-04-07,Active
P202,C10767,Investment,2023-04-06,Active
P203,C10203,Loan,2023-09-16,Pending
P204,C10073,Credit Card,2023-08-30,Pending
P205,C10342,Savings,2023-07-29,Active
P206,C10640,Investment,2024-11-18,Active
P207,C10397,Investment,2025-05-31,Active
P208,C10913,Credit Card,2024-02-22,Active
P209,C10923,Savings,2022-04-06,Active
P210,C10578,Credit Card,2025-09-01,Closed
P211,C10963,Credit Card,2025-08-04,Active
P212,C10356,Investment,2022-08-17,Active
P213,C10145,Loan,2022-11-05,Active
P214,C10880,Loan,2023-08-13,Active
P215,C10226,Loan,2025-05-13,Closed
P216,C10096,Savings,2024-11-06,Active
P217,C10797,Insurance,2024-02-20,Pending
P218,C10978,Savings,2024-10-31,Closed
P219,C10692,Savings,2022-04-17,Active
P220,C10179,Credit Card,2022-11-11,Active
P221,C10333,Investment,2024-09-06,Active
P222,C10610,Investment,2023-08-01,Active
P223,C10386,Loan,2023-07-15,Active
P224,C10462,Insurance,2023-04-28,Closed
P225,C10184,Loan,2022-07-12,Active
P226,C10119,Investment,2024-08-17,Active
P227,C10964,Insurance,2023-03-01,Pending
P228,C10101,Investment,2025-01-20,Active
P229,C10876,Investment,2025-01-10,Active
P230,C10628,Loan,2025-09-13,Active
P231,C10043,Insurance,2022-10-29,Active
P232,C10403,Credit Card,2022-10-29,Active
P233,C10592,Savings,2024-11-28,Active
P234,C10947,Insurance,2022-10-18,Active
P235,C10583,Savings,2024-03-05,Active
P236,C10210,Credit Card,2023-03-15,Closed
P237,C10778,Investment,2023-05-18,Active
P238,C10405,Credit Card,2022-04-18,Pending
P239,C10561,Investment,2025-04-07,Active
P240,C10199,Savings,2024-03-19,Active
P241,C10755,Credit Card,2023-12-18,Closed
P242,C10144,Credit Card,2024-04-02,Closed
P243,C10961,Loan,2022-07-03,Closed
P244,C10862,Investment,2022-05-13,Pending
P245,C10698,Loan,2024-07-11,Active
P246,C10023,Savings,2024-11-06,Active
P247,C10103,Investment,2022-04-11,Active
P248,C10409,Savings,2022-12-21,Active
P249,C10443,Insurance,2022-05-01,Active
P250,C10115,Savings,2024-07-15,Active
P251,C10719,Insurance,2023-05-12,Active
P252,C10487,Credit Card,2025-11-09,Active
P253,C10836,Savings,2025-01-26,Active
P254,C10882,Investment,2024-11-13,Active
P255,C10538,Investment,2022-07-20,Active
P256,C10922,Savings,2023-08-20,Active
P257,C10867,Credit Card,2022-03-13,Closed
P258,C10140,Loan,2024-01-10,Active
P259,C10951,Investment,2025-08-05,Closed
P260,C10214,Savings,2025-01-26,Active
P261,C10489,Loan,2022-12-30,Closed
P262,C10475,Investment,2023-05-14,Closed
P263,C10880,Loan,2025-04-24,Closed
P264,C10922,Savings,2025-07-20,Active
P265,C10009,Loan,2025-09-15,Closed
P266,C10381,Investment,2022-01-04,Active
P267,C10677,Savings,2024-09-21,Active
P268,C10192,Insurance,2025-12-31,Closed
P269,C10336,Insurance,2023-03-15,Active
P270,C10075,Credit Card,2025-08-22,Closed
P271,C10488,Savings,2022-03-16,Active
P272,C10538,Investment,2022-05-23,Closed
P273,C10003,Investment,2024-09-08,Active
P274,C10707,Savings,2025-01-18,Closed
P275,C10054,Savings,2025-07-17,Active
P276,C10712,Credit Card,2025-04-22,Active
P277,C10410,Credit Card,2023-12-05,Active
P278,C10653,Loan,2025-05-04,Active
P279,C10507,Loan,2022-09-21,Pending
P280,C10581,Credit Card,2022-02-04,Active
P281,C10779,Credit Card,2022-08-24,Closed
P282,C10579,Investment,2022-07-14,Pending
P283,C10615,Savings,2022-06-19,Closed
P284,C10464,Loan,2024-08-24,Active
P285,C10346,Investment,2024-01-23,Pending
P286,C10318,Savings,2023-04-20,Pending
P287,C10091,Loan,2023-10-11,Closed
P288,C10558,Insurance,2023-07-23,Closed
P289,C10552,Savings,2024-12-15,Active
P290,C10345,Investment,2025-08-15,Active
P291,C10979,Credit Card,2025-08-22,Active
P292,C10058,Loan,2023-04-12,Active
P293,C10790,Credit Card,2023-12-24,Active
P294,C10879,Insurance,2023-12-26,Active
P295,C10759,Credit Card,2023-12-26,Pending
P296,C10960,Investment,2023-09-18,Active
P297,C10635,Savings,2024-07-27,Active
P298,C10922,Savings,2022-08-13,Active
P299,C10627,Insurance,2025-04-28,Active
P300,C10650,Loan,2023-03-26,Active
P301,C10112,Investment,2025-09-22,Active
P302,C10170,Insurance,2023-12-28,Active
P303,C10750,Investment,2023-09-07,Active
P304,C10416,Loan,2023-06-28,Active
P305,C10127,Insurance,2022-03-03,Closed
P306,C10137,Savings,2022-02-13,Active
P307,C10520,Investment,2022-12-13,Closed
P308,C10757,Insurance,2022-06-12,Active
P309,C10368,Loan,2022-02-06,Active
