transaction_id,customer_id,transaction_date,amount,transaction_type,merchant_category
T1,C10798,2026-05-14,790.63,Withdrawal,Food
T2,C10433,2025-07-10,355.32,Purchase,Healthcare
T3,C10787,2025-05-21,727.64,Withdrawal,Food
T4,C10747,2025-06-24,292.85,Withdrawal,Travel
T5,C10182,2026-02-24,4059.12,Withdrawal,Utilities
T6,C10208,2026-03-10,1252.96,Payment,Food
T7,C10492,2026-03-16,1219.93,Transfer,Retail
T8,C10129,2026-06-15,2135.9,Transfer,Retail
T9,C10664,2026-06-16,17858.11,Transfer,Travel
T10,C10012,2025-12-27,382.8,Payment,Entertainment
T11,C10633,2026-03-22,173.78,Withdrawal,Food
T12,C10870,2026-07-10,1063.49,Transfer,Entertainment
T13,C10731,2025-12-23,176.49,Withdrawal,Utilities
T14,C10105,2026-07-15,781.6,Purchase,Healthcare
T15,C10374,2025-02-28,2629.34,Payment,Healthcare
T16,C10581,2025-06-16,5054.29,Withdrawal,Utilities
T17,C10706,2026-08-24,229.12,Withdrawal,Food
T18,C10697,2025-09-20,426.98,Purchase,Healthcare
T19,C10098,2026-03-07,1577.28,Transfer,Travel
T20,C10593,2025-07-15,2330.79,Purchase,Healthcare
T21,C10586,2025-12-20,2467.12,Transfer,Healthcare
T22,C10885,2025-02-16,4793.98,Transfer,Healthcare
T23,C10851,2025-11-05,2272.42,Transfer,Travel
T24,C10191,2025-08-18,972.75,Payment,Retail
T25,C10324,2026-02-15,3171.57,Payment,Travel
T26,C10978,2025-11-12,1175.92,Transfer,Travel
T27,C10725,2025-03-18,1443.34,Withdrawal,Retail
T28,C10826,2025-03-03,669.0,Payment,Food
T29,C10955,2026-07-25,1282.74,Payment,Entertainment
T30,C10466,2025-08-26,214.94,Payment,Utilities
T31,C10893,2026-07-22,3086.3,Payment,Travel
T32,C10366,2025-03-19,399.76,Payment,Travel
T33,C10317,2026-07-13,451.21,Payment,Entertainment
T34,C10143,2026-02-20,107.07,Transfer,Entertainment
T35,C10383,2025-01-24,481.79,Purchase,Utilities
T36,C10215,2025-01-29,420.56,Purchase,Entertainment
T37,C10360,2026-05-06,1362.78,Withdrawal,Travel
T38,C10323,2025-05-15,300.5,Transfer,Utilities
T39,C10014,2025-12-17,703.41,Payment,Entertainment
T40,C10216,2025-12-16,555.52,Transfer,Healthcare
T41,C10491,2025-10-08,188.65,Payment,Travel
T42,C10950,2026-04-21,1391.47,Transfer,Healthcare
T43,C10546,2025-10-19,880.74,Payment,Travel
T44,C10182,2025-07-08,1141.32,Withdrawal,Healthcare
T45,C10269,2026-08-06,2515.41,Purchase,Entertainment
T46,C10944,2026-02-23,1104.93,Purchase,Retail
T47,C10466,2026-04-13,786.06,Purchase,Retail
T48,C10869,2025-07-25,2758.98,Withdrawal,Utilities
T49,C10611,2025-08-30,791.8,Payment,Travel
T50,C10518,2025-11-02,662.09,Payment,Travel
T51,C10541,2025-07-03,2142.14,Transfer,Entertainment
T52,C10466,2026-04-23,502.69,Withdrawal,Healthcare
T53,C10304,2026-05-19,3523.58,Transfer,Utilities
T54,C10984,2025-05-08,1287.42,Purchase,Travel
T55,C10143,2026-03-25,5265.8,Purchase,Utilities
T56,C10110,2025-08-18,1032.87,Payment,Travel
T57,C10231,2025-02-10,2830.65,Payment,Food
T58,C10690,2026-01-27,212.9,Payment,Travel
T59,C10583,2025-12-06,3952.46,Purchase,Retail
T60,C10721,2025-01-21,2184.82,Transfer,Travel
T61,C10731,2025-12-13,575.1,Payment,Utilities
T62,C10591,2025-01-10,2604.33,Withdrawal,Utilities
T63,C10499,2025-03-28,308.84,Purchase,Entertainment
T64,C10594,2026-06-29,666.92,Purchase,Entertainment
T65,C10553,2025-12-05,468.21,Transfer,Food
T66,C10272,2025-01-04,2751.76,Withdrawal,Retail
T67,C10702,2025-01-23,3821.24,Transfer,Healthcare
T68,C10172,2025-07-16,699.98,Transfer,Travel
T69,C10972,2026-05-13,307.53,Transfer,Travel
T70,C10006,2025-09-30,412.87,Purchase,Healthcare
T71,C10154,2026-03-27,1202.4,Withdrawal,Food
T72,C10521,2025-04-17,1129.22,Withdrawal,Entertainment
T73,C10545,2026-01-13,780.48,Purchase,Food
T74,C10547,2025-07-19,478.33,Withdrawal,Travel
T75,C10920,2025-01-02,5588.27,Payment,Retail
T76,C10517,2025-05-01,589.93,Payment,Travel
T77,C10919,2025-05-29,476.83,Purchase,Utilities
T78,C10913,2025-06-01,3454.14,Transfer,Healthcare
T79,C10214,2026-07-19,826.76,Payment,Retail
T80,C10133,2025-11-02,1829.72,Transfer,Retail
T81,C10284,2026-04-20,457.07,Purchase,Food
T82,C10125,2025-12-30,1819.07,Purchase,Utilities
T83,C10920,2025-03-12,2287.45,Purchase,Food
T84,C10438,2025-02-02,359.14,Payment,Travel
T85,C10848,2025-06-06,642.86,Transfer,Entertainment
T86,C10685,2025-11-26,443.71,Withdrawal,Utilities
T87,C10151,2026-01-22,646.76,Purchase,Travel
T88,C10330,2025-06-08,5437.52,Purchase,Travel
T89,C10537,2026-06-23,1417.85,Purchase,Travel
T90,C10382,2025-08-15,7692.72,Payment,Food
T91,C10114,2025-09-09,4830.84,Payment,Entertainment
T92,C10893,2026-01-02,3397.82,Transfer,Food
T93,C10481,2025-09-19,4695.6,Transfer,Healthcare
T94,C10283,2026-06-22,3497.94,Transfer,Utilities
T95,C10898,2025-02-12,6030.1,Payment,Entertainment
T96,C10074,2026-06-15,1890.62,Payment,Retail
T97,C10165,2025-01-16,2178.35,Payment,Entertainment
T98,C10188,2025-04-15,2117.37,Transfer,Food
T99,C10077,2025-07-22,706.65,Payment,Entertainment
T100,C10946,2025-02-28,2555.95,Payment,Food
T101,C10601,2025-02-17,3857.61,Transfer,Entertainment
T102,C10687,2025-10-04,601.6,Payment,Utilities
T103,C10020,2026-02-16,465.34,Withdrawal,Travel
T104,C10565,2025-06-27,632.06,Transfer,Healthcare
T105,C10183,2025-04-24,4258.78,Payment,Utilities
T106,C10870,2025-10-23,865.13,Withdrawal,Travel
T107,C10221,2026-03-14,363.53,Transfer,Travel
T108,C10826,2025-09-23,388.18,Payment,Food
T109,C10327,2025-06-11,444.15,Withdrawal,Travel
T110,C10178,2026-05-19,537.61,Purchase,Retail
T111,C10787,2025-02-05,270.71,Payment,Travel
T112,C10111,2026-08-10,2009.45,Payment,Healthcare
T113,C10735,2026-04-03,907.47,Payment,Food
T114,C10725,2026-01-06,1871.42,Payment,Healthcare
